zone_class,centroid_lon,centroid_lat,geometry_type
industrial,72.57164,23.070681,MultiPolygon
industrial,72.622713,23.097013,MultiPolygon
industrial,72.661476,23.010623,MultiPolygon
industrial,72.472857,23.114408,MultiPolygon
industrial,72.470164,23.115694,MultiPolygon
industrial,72.462408,23.111189,MultiPolygon
industrial,72.4594,23.107225,MultiPolygon
industrial,72.442656,23.052768,MultiPolygon
industrial,72.618469,23.009007,MultiPolygon
industrial,72.644544,23.023864,MultiPolygon
industrial,72.616495,23.006923,MultiPolygon
industrial,72.639102,22.995269,MultiPolygon
industrial,72.634185,22.993704,MultiPolygon
industrial,72.628332,23.018499,MultiPolygon
industrial,72.612266,23.00861,MultiPolygon
industrial,72.576715,23.006625,MultiPolygon
industrial,72.581174,22.963802,MultiPolygon
industrial,72.553754,22.937035,MultiPolygon
industrial,72.558635,22.956398,MultiPolygon
industrial,72.578504,22.984293,MultiPolygon
industrial,72.5869,22.997675,MultiPolygon
industrial,72.569016,22.985747,MultiPolygon
industrial,72.553971,22.970658,MultiPolygon
industrial,72.583489,23.009988,MultiPolygon
industrial,72.593169,23.012738,MultiPolygon
industrial,72.589904,23.011999,MultiPolygon
industrial,72.590202,23.014593,MultiPolygon
industrial,72.588838,23.008635,MultiPolygon
industrial,72.587424,23.010921,MultiPolygon
industrial,72.449018,22.922445,MultiPolygon
industrial,72.441067,22.925164,MultiPolygon
industrial,72.45196,22.936448,MultiPolygon
industrial,72.454361,22.939436,MultiPolygon
industrial,72.456112,22.94189,MultiPolygon
industrial,72.587612,22.886119,MultiPolygon
industrial,72.592425,22.882,MultiPolygon
industrial,72.595462,22.880995,MultiPolygon
industrial,72.591556,22.877622,MultiPolygon
industrial,72.592064,22.875169,MultiPolygon
industrial,72.593981,22.874552,MultiPolygon
industrial,72.594265,22.870241,MultiPolygon
industrial,72.597274,22.899791,MultiPolygon
industrial,72.591418,22.899549,MultiPolygon
industrial,72.597977,22.912895,MultiPolygon
industrial,72.589131,22.906433,MultiPolygon
industrial,72.592976,22.909221,MultiPolygon
industrial,72.592058,22.920219,MultiPolygon
industrial,72.592796,22.923934,MultiPolygon
industrial,72.584013,22.949707,MultiPolygon
industrial,72.587441,22.946393,MultiPolygon
industrial,72.582985,22.88472,MultiPolygon
industrial,72.575614,22.88069,MultiPolygon
industrial,72.572903,22.882442,MultiPolygon
industrial,72.568692,22.879213,MultiPolygon
industrial,72.591983,22.904593,MultiPolygon
industrial,72.569327,22.977739,MultiPolygon
industrial,72.436904,22.907124,MultiPolygon
industrial,72.446874,22.915415,MultiPolygon
industrial,72.447603,22.93442,MultiPolygon
industrial,72.459489,22.935994,MultiPolygon
industrial,72.4325,22.917531,MultiPolygon
residential,72.553031,23.019897,MultiPolygon
residential,72.574669,23.177647,MultiPolygon
residential,72.631737,23.212192,MultiPolygon
residential,72.633912,23.209964,MultiPolygon
residential,72.638576,23.20944,MultiPolygon
residential,72.63562,23.213871,MultiPolygon
residential,72.628884,23.214119,MultiPolygon
residential,72.627508,23.21667,MultiPolygon
residential,72.633973,23.217641,MultiPolygon
residential,72.636306,23.218338,MultiPolygon
residential,72.638079,23.217214,MultiPolygon
residential,72.63807,23.219236,MultiPolygon
residential,72.633322,23.212825,MultiPolygon
residential,72.644952,23.006033,MultiPolygon
